,ACH-000217,ACH-000221,ACH-000316,ACH-000361,ACH-000393,ACH-000420,ACH-000422,ACH-000471,ACH-000475,ACH-000476,ACH-000478,ACH-000480,ACH-000483,ACH-000493,ACH-000537,ACH-000577,ACH-000620,ACH-000671,ACH-000734,ACH-000739,ACH-000848,ACH-001318,ACH-001853,ACH-002523
BRMS1L,-0.2458366157342636,-0.058615988124173,0.1227767482717944,-0.1157517248704533,0.0335689004607317,-0.0245235202190589,-0.0455621037069943,0.113068389889401,-0.0255494410267234,-0.0474308225581617,-0.0688153788638562,-0.0254228771613768,0.0437808470002105,-0.0178279182934569,-0.053512220112906,-0.2854020335669817,-0.0957741442019332,0.0259340333153017,0.0499816477188151,0.0399015009409981,-0.1684989092644748,-0.1691978848610368,-0.0655404935219838,-0.0431292496569302
BLOC1S3,-0.328092117566711,-0.3587958953181448,0.054053826774056,0.1170064645276149,-0.1673371944984213,-0.1103876459326881,-0.2007207843085173,-0.0579842145249744,-0.2155703243675692,-0.0994803857499398,0.0121471402278436,-0.1935634087168563,-0.1920630254131887,-0.037509469650486,0.0062425233453848,-0.0240864109111427,0.0289818454943606,-0.269865482777826,-0.0004639865814875,-0.1224601914004991,-0.0506312403591429,-0.1521133697167747,-0.2475282270355378,-0.2239232962678276
VAMP3,0.0154347384512817,0.0597014303878633,-0.0202007913262727,0.2253362519982079,0.0148818052981738,0.0467385528080152,0.074840502969921,0.0364542023562798,0.0353868107824171,-0.0771169309773698,0.0204057585342994,0.0288879660588024,0.0593421060610829,0.0233965621708973,0.0079032154163048,0.0001879299776894,-0.0372671177118179,-0.0018678699950355,0.1420706058079703,0.0169738695497805,0.0273972381890951,0.1659090182529755,0.1696741779809125,0.0146337879390053
PIDD1,0.1305163735946941,0.023209132464191,0.0893635457650139,-0.0857607962524313,-0.1776309891488605,0.1533864690351377,0.1396381110669737,0.0305670788616951,0.0377319153504881,-0.1305433618394081,0.0157292518891676,-0.1291970480629657,0.3934707265003744,-0.0444255148213887,0.1987243700343895,0.0887352762268657,-0.0396334394554984,-0.0456040679985108,-0.1964846223999347,0.0316436415566416,-0.1616951704317794,0.0621192734111951,0.0168365298015833,0.0412747387201908
TUBGCP4,-1.165317348830034,-0.9226647876898996,-1.119859584533543,-1.2708244992228643,-1.475257479295453,-1.4148995017321684,-1.3685820375899138,-1.449539565287238,-1.656191132163385,-1.2642416635061768,-1.0717805718981064,-1.4949931627887478,-1.320522773375577,-1.5372362165346525,-1.2575117301585552,-1.3505925425732572,-1.6776081697105147,-1.2208451126667794,-1.42400297706055,-1.3530692934258823,-1.2165279390937511,-1.2306044013248425,-0.9729725852643888,-1.5651050878830053
PTMA,-0.1619562545608163,-0.2791761885273073,-0.4958243704876987,-0.489650483049006,-0.5163593072707287,-0.6698981562175182,-0.1589043863111329,-0.3505588429258938,-0.2426182354199929,-0.6172866592878474,-0.3736637433344946,-0.6260912221528563,-0.327357070253902,-0.377954013698915,-0.1602236917400941,-0.7900616449724706,-0.5656919588416219,-0.5346091874793502,-0.228153592798838,-0.7009942597024403,-0.4174721810676799,-0.2048710499809887,-0.965460756127134,-0.2124407918890691
LITAF,0.098051459269252,-0.0070106785719436,0.0114578434161789,0.151435261275053,0.2805750061116384,0.1845567833533365,0.1188003415449864,-0.0183092343926904,0.0545684283037145,0.0641542511258889,0.0010748286435217,0.067123361903267,-0.1278585525469467,0.0582691691903976,0.1667669607091136,0.0650475814293737,0.213536731210765,0.0230078043352846,0.0923995646832032,-0.0280826899686586,-0.0078735816475774,0.0226100344716981,-0.1609997997608877,0.1251724333094631
POLH,-0.199642342716057,-0.1232311573845465,-0.1519484292276721,-0.3158868189596743,-0.2800903299788557,-0.0818965317463286,-0.1300578925594441,-0.1295266624496601,-0.1164807424133483,0.0165249370526153,-0.1372216170531501,0.0226839170006568,-0.039268567460642,-0.2353309874572745,-0.1936237740374423,-0.0665001350842093,-0.0402246819220773,-0.1867775878561978,-0.2558838520184722,-0.0409252518625055,0.0136208096215324,-0.1742759097665746,-0.0811449394847106,-0.0429481596192981
LGALS1,0.0081927175289022,0.1943238172463505,0.1587540568230665,0.2022652490881286,0.083827879322924,0.2917384801379059,0.002274150335917,0.0406695890524476,0.0778260888709956,-0.1603294155997033,0.0038809540115802,0.0968980985666058,0.1105672797607077,0.2046420815224489,0.2087692852468677,0.1536943398474715,0.0191900024078578,0.0135967048878309,0.1377334542271157,0.0741349559179956,0.1872944272001447,0.1100102487238515,0.0715442234792788,0.0311370817208996
BLOC1S4,0.1861766059104993,0.0239826139614865,-0.0340529140565147,0.1270006228742375,0.0787752344965822,0.0026504655468599,0.2218983478641472,0.0475693887789608,-0.0922103109352699,0.1763661131355429,0.018587802458926,0.0801235452817595,-0.0610671558702935,0.0800312573624693,0.0378622798788304,0.038651666135825,0.0919765641648606,0.0331856075187231,0.0752044170946418,-0.0100239030351062,-0.0017771717707429,0.0155602889100345,-0.0964546194140321,-0.0003318070262388
