,ACH-000014,ACH-000219,ACH-000274,ACH-000304,ACH-000322,ACH-000348,ACH-000401,ACH-000404,ACH-000425,ACH-000441,ACH-000450,ACH-000458,ACH-000477,ACH-000550,ACH-000579,ACH-000580,ACH-000614,ACH-000632,ACH-000661,ACH-000765,ACH-000788,ACH-000799,ACH-000801,ACH-000805,ACH-000810,ACH-000822,ACH-000827,ACH-000881,ACH-000882,ACH-000884,ACH-000899,ACH-000915,ACH-000968,ACH-001041,ACH-001190,ACH-001239,ACH-001522,ACH-001563,ACH-001566,ACH-001567,ACH-001568,ACH-001570,ACH-001645,ACH-001970,ACH-001973,ACH-001982,ACH-001986,ACH-001990,ACH-002001,ACH-002002,ACH-002003,ACH-002005,ACH-002084,ACH-002143,ACH-002458,ACH-002459,ACH-002460,ACH-002461,ACH-002508,ACH-002510,ACH-002511,ACH-002512,ACH-002847
BRMS1L,0.036250648311474,-0.0805718815848732,-0.0501789359521328,-0.2068426751193216,-0.2742324016895869,-0.282642140086617,-0.0754778533756944,-0.0513772396037912,-0.168300391054484,-0.1226167483875539,-0.128763707978246,0.0479662236247103,-0.2800029887964818,0.0386748480394773,0.1737304357836572,-0.0863439319466381,-0.056447312370114,-0.1011048566978454,-0.2955412223583193,-0.1848088317491855,-0.1259357219423677,-0.4212955176602695,0.1024009585878687,-0.2579849281414212,-0.153640405356907,-0.1304686597755314,-0.1170664929949164,-0.0753077572331086,0.0837190024387481,-0.0233163653377364,-0.1145629709039473,-0.1547951084219115,-0.1680342637772191,-0.0335601847540779,-0.2863908334660808,-0.152178546981327,-0.0010470047516676,-0.232457667131242,-0.0558527942204568,-0.2200674278386494,0.1460659020210977,-0.2932072936057472,0.0455192588598273,0.111274192465919,0.1359667968414453,-0.0909401149000406,-0.1352084666978637,-0.0978159969722765,-0.1334195171335481,-0.1701408178096815,-0.2421400519205367,-0.3236274696379,-0.0531663511450478,-0.1080355982062357,-0.2899630755340197,-0.1574421759118852,-0.4323604174548942,-0.0773777132001254,0.0406347320534701,0.061516171423527,-0.2084284706654259,-0.144026411197261,-0.1170557611358833
BLOC1S3,-0.0531315522148124,-0.2734929748300875,-0.13809776261095,-0.0800265897374205,-0.4080274514359379,-0.1047657551568028,-0.324467528620376,-0.2743536618978605,-0.0800366024060033,-0.1079848596498455,0.1023717188413267,-0.2401589764058378,-0.0993918792576464,-0.1141896556589011,-0.2817849987669601,-0.0658500974609865,-0.1120561381962991,-0.1790480822535275,-0.3194479134779701,-0.0152871437611699,-0.1106205129940085,-0.0779643831148243,-0.2192565008718517,-0.0262888408399365,-0.2101107445173539,-0.3060647431951552,-0.1054608896811683,-0.0826919132098443,0.0529242061785689,0.0409278500586153,-0.1963717258933165,-0.2294212798629125,0.2267446114145598,0.04194312060449,-0.0809052306373976,-0.2054460942924356,-0.2767010022947687,-0.0690823182745411,0.1488805763829189,-0.2252577024503536,-0.344060312737526,-0.0656861351193225,-0.2904103442119196,-0.4835066023596825,0.0674975052908235,-0.1479494587027316,-0.3720680572998794,0.0285378416489324,-0.1132005208100182,0.0055829393095044,-0.1781037116564051,-0.1857578213521422,-0.2546463884080555,-0.0545109166791109,-0.190515066692101,-0.2394524876360295,-0.3502726691319759,-0.1068878270016334,0.0059102385350395,-0.4557810880503179,-0.2396813297119524,-0.2680068071255561,-0.0061578664171686
VAMP3,0.2589379965860309,-0.0142458046272157,0.1326025794068735,0.1553126000976205,0.0686739553716079,0.1375710130513409,-0.0276213913338476,0.1020445532423206,0.0195767350924757,0.0273335164077162,-0.0030608011248439,0.0226926700836027,-0.0552062651187131,-0.007409836226198,0.0664703689075149,0.0966010722055355,0.1500523361056025,0.1128093005677005,0.0854561911056176,0.0054849900601665,0.0154406611929073,0.1021239264148591,0.0577021437146697,0.1421711370789513,0.12582922293018,-0.0618903631160667,0.0817984866825217,0.1292109805624962,0.0404435516021631,0.0038621309077249,0.0697031996743439,0.0897670001897587,0.0864693659807744,0.0221408174162885,0.0135408444696954,0.0070625604695237,0.0054721234827073,0.0145226732008053,0.0009586249333355,-0.068385348080564,0.0119582883872321,0.1405096822182707,-0.0107026253999073,-0.1247136205525015,0.1709437697589834,0.1162725554092562,0.0252946279894542,0.049970230494421,-0.0543799801630466,-0.0332333869668909,-0.1990133744374037,0.1480611398139776,0.1199246237008097,0.0436843217210908,0.0553894695057575,0.0827760804723132,0.055469986878945,0.0702990826415894,-0.0298768972021789,0.0137669037713234,0.1556541056167164,0.0035986180838761,0.1115519225219963
PIDD1,-0.1382848651218844,-0.1782888589289318,0.0423539894025485,0.1016659857146667,-0.2841571551143119,0.2321461199829186,0.1451687065284127,0.01403939761969,-0.0106728686845556,-0.0444284949667125,-0.0033554631930853,0.0245375967995832,0.081985133693872,-0.031596360556281,0.2749221744667153,-0.0561118302946708,-0.2781521638150078,0.0661860304681737,0.0357569424440495,0.0204512176080269,-0.0805128374829085,0.1428767236440825,0.1045429133127066,-0.0101670801822795,0.0018764901865344,0.2336578230003986,-0.146676755315687,-0.0287119098252812,-0.0886926442044289,-0.0055939115211617,-0.4495076179700554,0.0920968392562328,-0.0241390361575425,-0.103559440372709,0.0808531625421142,0.0043704726018724,0.1136010562982148,-0.157037740130594,-0.0971956338389558,-0.0091566569858927,0.0773457827745375,0.0469481347769672,0.0178019714587206,-0.1520165614079834,0.1272300738896801,0.0239079912247598,0.0942151469736311,0.0558163741921226,0.1034538972586373,-0.0650860446157564,-0.0777920104839041,0.0980954858893156,0.1515777544261065,0.0099850841264127,-0.2285592141514434,-0.0368994250754068,-0.275479923627264,0.0341054559525257,-0.0285793887821445,0.0620794831753574,0.0248196834377401,0.2288889144918152,0.0830001599187795
TUBGCP4,-1.1516088834055302,-1.3312911583686895,-1.2750691964596927,-0.9127350329633248,-1.326608272510036,-1.4268651397243706,-1.3213413888999015,-1.0809657499766796,-1.2899887286992553,-1.3719205665661822,-0.6620708662919952,-1.2897591322151218,-0.9057317615502,-1.7549904773556566,-1.1604405368955977,-1.4548994439487102,-1.2335472230143114,-1.3182621477482936,-1.0476766254494168,-1.3154647158248318,-1.4930266542633557,-1.635244490135874,-1.332508839734953,-1.0774500119535204,-1.7058579574140198,-1.4383253243842564,-1.1457328578226034,-1.235573692825071,-1.3368613619471996,-1.3609513286904011,-1.4632725045199728,-1.4533779649999703,-1.2355370480301529,-1.1410201105291191,-1.619364199200635,-1.2840926293412582,-1.278904785261812,-1.4303891493358245,-1.57112990090771,-1.01848656842334,-1.5134667788864418,-1.1833778220937292,-1.8192543078860164,-1.194648322049733,-1.2734587900262768,-1.4550485626398493,-1.459149928205243,-1.5441767548905894,-1.4142741241054446,-1.1419578561980068,-1.4087685920710251,-1.353291417560322,-1.07908366331044,-1.2377536191263825,-1.4351975216292705,-1.4166169155141466,-1.5402706709768044,-1.8009470722988057,-1.458320920530063,-1.0315145049101773,-1.526580555447065,-1.0735733592791252,-1.7114526951703295
PTMA,-0.4441023015505902,-0.795978095518469,-0.3968263708008805,-0.473636844877097,-0.1616332218523291,-0.2554293794025016,-0.2692231990552721,-0.3970878430608243,-0.6016474166026202,-0.8336774969040899,-0.381550349293329,-0.4678880130595458,-0.9882716396528016,-0.4640205952518404,-0.4875363271802961,-0.3135507045073917,-0.8891466820903741,-0.2291842115300919,-0.1075352257250182,-0.436562831664141,-0.5343566371991565,-0.8791950704076822,-0.4213778177530757,-0.8536935892646935,-0.8243018553325232,-0.1945961508199733,-0.3698407959385896,-0.8059898919060954,-0.4879610480946735,-0.6786925938248336,-0.7708213197663799,-0.2417610553788536,-0.5667143035408718,-0.5215924151354592,-0.4627334317930178,-0.4736452493058696,-0.5940441712463792,-0.7639866718044661,-0.8001039994732905,-0.675892788559455,-0.4254122843698102,-0.1877501863028224,-1.1469886170772925,-0.6790156218377399,-0.6448319535191799,-0.2754624760951927,-0.544210421902632,-0.3268970302124668,-0.5574387682039581,-0.7610135789743533,-0.4684342459549253,-0.3813826319845423,-0.0524891931573677,-0.96130762626613,-0.5570578986520673,-0.4042688543695509,-0.7923438707340963,-0.2475402795220065,-0.5288670415526773,-0.247607314057472,-0.1446686267849538,-0.3373519494861392,-0.3001450682843306
LITAF,-0.0879439734915986,0.1055026008260508,0.0571078696413362,-0.0677201470415653,0.4506237706127096,-0.0186460293528091,0.2828001353379923,-0.0280858170482287,-0.1453141816910002,0.2358297932339531,0.232605718495383,0.1404200836464231,0.1012560367320171,-0.0374703025988647,0.3423113193377613,-0.0247627291140871,0.0624641684214921,-0.0964238841882455,-0.0820447225738552,0.1887993371279228,0.1144319034016996,0.1445634365070226,0.1458061171218086,0.1804541525817372,0.2421287138767357,0.0548376092133617,0.137249343569188,0.2011834968959524,-0.1573136973532511,-0.0223187982875757,-0.1652984866970625,-0.0476109650592827,0.0130236564804397,-0.0175885911853545,0.0807499873825888,-0.0622326664355802,0.1342168781496501,0.0374689596506759,0.1152955542722595,0.3145898866793385,0.0927310917563898,0.0788431783267866,-0.0246202411307642,0.2333122661518051,0.0746042996645309,0.0726933057117983,0.159938757354253,0.0662751655088196,0.0227364357421243,0.1399676291929373,0.0414932412091498,0.2248209600204978,0.0339804162991808,0.0333770005692858,0.2148509634396457,0.3042195181218464,0.1901330775952495,0.0658110029439067,0.0746667999509048,0.2245552390788648,0.0645842924964357,0.3433155002054202,0.0374168245231127
POLH,-0.1683768964389102,-0.1631728316573901,-0.0894474327302088,-0.0896854147226032,-0.5141045735385084,-0.1582529727595288,-0.2279879256993047,-0.0359303909002982,-0.1287611097661074,-0.0689757374799069,-0.0502321278134522,-0.1575182382099467,0.1213074798398041,-0.2877836058943872,-0.165122931886552,0.0414588583576208,-0.0435614109155574,0.0879975068521412,-0.1024474027071741,-0.1966119992667005,-0.0635573642635878,-0.8250825160040448,0.1167510703227937,-0.1621986274283506,-0.2737774687158958,-0.1347850578969065,0.1064760357021092,-0.073844864845337,0.0763978423310102,0.1036059125891875,-0.1052840327502839,-0.1634501021292043,-0.0032973827266978,0.0478710406924098,-0.0886967533382818,-0.0873574861031011,0.0108951164791425,0.0413945664433303,-0.006574471102366,0.1674070202202763,-0.0928825776057347,-0.1871895707714292,-0.0651408842120633,-0.0260465498383047,0.0092402670364925,-0.1374235196647024,-0.2507702473806359,-0.1254704476428152,-0.206707408234346,-0.1806859913631247,0.1506322812726435,-0.3290931917858282,-0.0829180009818029,-0.2626346740728132,-0.3557033489204649,-0.2375889512883158,-0.8174550534660552,-0.0692895429482815,-0.1003326972240844,-0.0945186169440608,-0.06480404717751,-0.0344044477001948,-0.1429509172973742
LGALS1,0.0223146397440447,0.0634673432519819,0.1337883956371397,0.2055827179543661,0.1035230425578319,-0.0872116155654771,0.2433766059280836,0.1867379118193467,0.1090405095466698,0.1021237470401193,0.076953501258365,0.0785842246441992,0.2801459080573487,-0.0846954652432652,0.1247691706132056,0.2931288732910813,-0.0114187925848478,0.0078636461987852,-0.0477700485818439,-0.0446930358795162,0.0385642568642597,0.1627819242396146,0.0963585075447199,-0.1070165758569904,0.0663695489132214,-0.0155197087896278,-0.0084338746451269,0.0233233292321563,0.2387662725249628,0.0361869193505104,0.0787979484519915,-0.0793591559583296,0.0114168812476092,0.1855743536117173,0.2360737054531364,0.0365498654974501,0.1816428068812692,0.006772362667512,0.1878214715719507,0.1429707488865619,0.1325135521493741,0.2783762170048312,0.1844283264548711,0.4865170263295554,-0.01761517405272,0.048498478579563,0.1007290290778416,0.1112659094272354,0.1059440729277383,0.0622184455371111,0.0235269818054295,0.123333306147925,0.2404655988770074,0.1660809624753811,0.0298589019264323,0.1639705057370459,0.1744662917128096,-0.0199991919449041,0.1347251929508462,0.078240520872418,-0.023145571001746,0.1557845847939758,0.0775602635174458
BLOC1S4,-0.055900820315864,-0.108049769536955,0.1159967188771326,0.4490132437756837,-0.0710696252400172,-0.1313636815877816,0.0294011001725309,0.2140484203906835,-0.0483291342763921,-0.0366837636443855,0.0251229404806039,0.1252372340400821,0.0244687115760689,0.045383097149364,0.1043152291088486,-0.0970770737371451,0.1596185768037992,0.0677961377525074,0.0620769081363903,-0.0080244268962161,-0.0450382542064945,-0.190447396052174,-0.1260310449684037,-0.076592338202891,-0.147523381818465,-0.0137142638423396,-0.0137107803621468,0.0555927283503729,-0.1512915796297988,0.212388495553837,0.1226292940247012,0.1917569063938694,0.0560403888322032,-0.0333255566707792,0.1419575868085159,-0.1455168001646682,-0.0518667876211848,0.0182486628406971,0.0967815755295345,-0.0171462997734835,0.1365733947173899,0.1289722007172844,-0.0062912477311595,-0.2864913479033097,0.0864756087307113,0.0735623846872654,-0.0509764049622952,0.0361929910451644,-0.0127941872683648,0.0406869868392166,0.053581148663011,-0.1872395447126468,0.0575207481711327,-0.1010397367209265,-0.243427244908373,-0.1205989342861125,0.217456659464208,-0.0823868667380597,0.0101406922672312,-0.0076417075811586,0.0711392829350169,-0.2477987787504647,0.1321349012578757
