,ACH-000078,ACH-000099,ACH-000120,ACH-000149,ACH-000227,ACH-000259,ACH-000260,ACH-000310,ACH-000312,ACH-000341,ACH-000366,ACH-000804,ACH-001188,ACH-001300,ACH-001301,ACH-001302,ACH-001303,ACH-001338,ACH-001344,ACH-001354,ACH-001366,ACH-001367,ACH-001481,ACH-001548,ACH-001603,ACH-001674,ACH-002080,ACH-002083,ACH-002217,ACH-002261,ACH-002278,ACH-002280,ACH-002282,ACH-002283,ACH-002284,ACH-002285,ACH-002922
BRMS1L,-0.1291433696282927,-0.1900224075521632,-0.067948344585523,0.1269966912466448,-0.0577693524345789,-0.1329784674690315,-0.0746687384978058,-0.0646270051932087,-0.0606239195362316,-0.0828021554381303,-0.1811012695727566,-0.0591831325235543,-0.0275396540985935,-0.2798629402612737,0.1122454612063785,-0.1070601157323832,-0.1064606643925285,-0.0178662632758619,-0.0528026506847265,0.0016701643996285,-0.0398829593508475,-0.2358249261026707,0.095668183396563,-0.2043149355587453,0.1283274814868208,-0.0649349502710738,-0.1831732409565256,-0.0080902801361402,-0.0378263083305681,-0.0557919026942772,-0.0292320830798171,-0.4051742590109392,-0.2081711200660294,0.0719027090856737,0.1422553030888101,0.1748256924430483,-0.0693380885889987
BLOC1S3,0.1381434709651862,0.0202158257659207,0.0736150143361981,-0.0892391541041295,-0.0506190521115747,-0.0554772133410804,-0.094260926561402,-0.228133487687909,-0.2502329531513141,-0.0151632932059419,0.0082652884090738,-0.3306475216879305,-0.135089277146172,-0.5041418884498066,-0.3158319154324946,-0.2016113501250565,-0.2169108886486054,0.0115472297056018,-0.0993523713428004,-0.0409916495465128,-0.1121437293868351,-0.1057121158124923,-0.3998387865163471,-0.16269691808066,-0.0835948577431852,-0.1505710122716251,-0.2136950334929221,-0.0893136160487187,-0.0534941631710884,-0.0378712045996366,-0.0074829233286868,-0.1498292384106495,-0.0305215379251978,0.049850236545917,0.0944589617371924,0.0243635954695466,-0.0748125187093267
VAMP3,0.1372887621030113,0.073071493335449,-0.04003048139361,0.1639410826773832,0.1210938695364237,-0.029160951746209,0.0564214291313783,0.1346503021061114,-0.0384382215853717,-0.0497780334885444,0.0433620427834584,-0.0058529596858116,0.1161194797699312,0.0248785388179385,0.1803275349742775,-0.0613688772592091,0.2169148132599613,0.162382410887996,0.2037759920592518,0.0461576432115771,0.1757593693536473,-0.0066084211135687,0.043738715844165,-0.0497046794110009,-0.0743865766734264,0.0718570901901506,0.0599081818791358,-0.2110998678812384,0.0438580947535075,-0.0582178296780028,-0.1080082209222972,0.0079400203766939,-0.0177852756273614,-0.2647835784687206,0.1338890305526146,-0.0577227712322752,0.132988546201951
PIDD1,-0.2725832201585809,-0.0856459063901557,0.2099062566510794,-0.0650306090925505,0.1008117922895511,0.0916857928700869,-0.0054455725654015,0.0946759801955625,0.1190591952430926,0.0019024393765117,-0.1957088379027946,0.058871894120105,0.1113242964724876,-0.0772988174857922,0.1238098107900877,0.0110574480375032,0.0699801394395961,-0.0440458012647814,0.1157810476032819,0.0309610875481427,0.1053533754454609,-0.0845677341664482,0.0874833166350826,-0.0676091522547696,-0.2641666506783781,0.0287997208582189,-0.0190811612608459,-0.0267298669073039,0.0906784111819002,0.0657685835578581,-0.0379051348402699,0.0450176723621275,0.0187161027995745,-0.2317058471678101,0.2219701750948905,0.036252439988223,0.0522116155239658
TUBGCP4,-1.1965096996034823,-1.193981839672078,-1.117219683824454,-1.4570077268219546,-1.202916373094391,-1.365443314162332,-1.831452171326495,-0.9926346392340684,-1.3340620204810203,-1.8892180999058967,-1.3693066131728115,-0.9152861660635964,-1.1985196455923015,-1.0771991865763109,-1.075937765554859,-0.8582702801093607,-0.7812944202702615,-1.275825442324331,-1.2093493641485995,-1.0763017179676109,-1.4109782072592043,-0.8557504953146008,-1.3460648869062348,-1.1701916900553646,-1.744643609491079,-1.5332443379730845,-1.359821292373108,-1.2601936417515514,-1.002252355329873,-1.709129638726054,-1.0912325479305836,-2.023971668844148,-1.4455076378036544,-1.4256071212744363,-1.3679095863951751,-1.4274532895958865,-1.4604776549223697
PTMA,-1.0945102371771855,-0.9315506365491576,-0.6221233020051817,-0.6535346992669854,-0.762585503178835,-0.6337960112653964,-0.5505106459073832,-0.8980466611130788,-0.7429465532946624,-0.3838176619637804,-0.5590296517819802,-0.731460405263605,-0.3547430147820928,-0.8134686059923879,-0.7718782944203164,-0.4542263456205606,-1.0190202493183775,-0.6011350333950455,-0.7489284514999813,-0.9371680152317956,-0.4754669394818945,-0.6294995267501741,-0.4482654149469198,-0.5339053565014337,-0.4132103868657734,-0.46164380396221,-0.5858835130356087,-0.6946370672851967,-1.042035165563773,-0.4403094260009917,-0.8171690524073207,-0.6269904049888401,-0.4155173285689439,-0.6752416869195753,0.1816493436421758,-0.1675522474588696,-0.3892944221612684
LITAF,0.0639716597444033,0.0394169352243416,0.034415281870189,0.0832140152712951,-0.0148740227529655,0.0856867533040935,0.1057914636502029,0.1874310642726658,-0.0171997135853977,0.0529125063256868,0.0142830960414211,0.2491935626928208,0.0923849530894475,0.0036611902113702,0.0649873307462336,0.0515633551068855,0.0791882248482866,0.0105092200975875,0.1071349922344269,0.0409025756859674,0.163385384324639,0.0055909808076725,0.1234278822651403,0.2626013173461686,0.2634556740343821,0.0936272449290418,0.1318846595835702,0.1760015109622466,0.1291955345255653,0.1621601502294473,0.2695376001898779,0.3713074395582521,0.1293818542902839,0.0737761424040249,0.0559064959377089,0.0196693098345129,0.0401049466941814
POLH,-0.4074446555436014,-0.4546243584522565,0.0167787737175941,-0.1347038738578082,-0.0469856097377787,-0.1059909493471634,-0.1095485767636036,-0.2843278932104144,-0.191692284905789,-0.060126931594561,-0.1041283385610101,-0.1388661427689305,-0.1831624020007245,-0.2038949458341425,-0.1615812266852155,-0.0113615052339655,-0.3803971482530586,-0.1892939212835017,0.0685662350402826,-0.009178779149132,-0.4394204071888037,-0.3270807785315999,0.018495374531422,-0.0861072667847392,-0.0598469190976664,-0.2195718883950931,-0.0838223446946122,0.1299239333036946,-0.206170116899828,-0.1215286308557782,-0.0524727443649378,-0.0298114543185921,-0.0833430227312847,-0.0237821005852726,-0.0712548705653819,-0.0016957165388763,-0.2512658469564815
LGALS1,0.1703840270219074,0.1767878383966978,0.2341016294069304,0.0924953933456165,0.1960732822348998,0.0836224800553677,0.088867422459799,0.2740839340255251,0.0575677909954667,0.14624977474896,0.1099212767919026,0.0323653275464307,0.2879040819280538,0.1874948203645741,0.1658203955187882,0.1945586247174751,0.0538690986935733,0.3824282000530317,0.1828917185158444,0.2017015217486949,0.172433509411543,0.2002098951009746,0.1367467091921499,0.0535687030708093,0.0912181830073749,0.1165746875956598,0.0032458483306693,0.2918172343624142,0.0468991343905502,0.1448230221671687,0.0019851909235606,0.0642484892532905,0.0649897923728411,0.0267937543979455,0.1313128294884119,0.0734381762644558,0.0876011855680776
BLOC1S4,-0.1006348199216333,-0.1715681014364696,0.0274018967116787,0.1102973934808258,0.0144444707995984,0.0425942371335875,-0.0131526526386879,-0.0422847932568258,0.0462473352605986,0.0790793517736338,-0.1594469550560662,-0.0110126636871708,-0.1357323933347122,0.3048107413630667,-0.0758631067741788,-0.2057268762111702,-0.1538327418723686,-0.0731386107503871,0.1095974057845498,-0.1936331284112246,-0.122587497680919,-0.1929732813607183,-0.0082303516040976,-0.0649902106514302,-0.1312174410906375,-0.0648137937394285,-0.0314774784725268,-0.089049284980168,-0.2020855449184434,0.0149670007059476,-0.1787490455844996,-0.1333144554680263,-0.3466657751317786,-0.0780815477742795,0.000108865711451,-0.1322618344620172,-0.0754658591127368
