"","ID","Name","Genes","Length"
"1",1,"BCL6-HDAC4 complex","BCL6;HDAC4",2
"2",2,"BCL6-HDAC5 complex","BCL6;HDAC5",2
"3",3,"BCL6-HDAC7 complex","BCL6;HDAC7",2
"4",4,"Multisubunit ACTR coactivator complex","EP300;CREBBP;KAT2B;NCOA3",4
"5",10,"Condensin I complex","SMC2;NCAPH;NCAPD2;NCAPG;SMC4",5
"6",11,"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","HPS1;HPS4",2
"7",12,"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","HPS6;HPS3;HPS5",3
"8",13,"MUS81-CDS1 complex","CDS1;MUS81",2
"9",15,"NCOR complex","HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1",6
"10",23,"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6",8
"11",27,"Arp2/3 protein complex","ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2",7
"12",29,"PA28gamma complex","PSME3",1
"13",30,"PA28 complex","PSME1;PSME2",2
"14",32,"PA700 complex","PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13",20
"15",33,"Prefoldin complex","PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2",6
"16",36,"AP1 adaptor complex","AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2",8
"17",41,"Mi-2/NuRD-MTA3 complex","MTA2;MBD3;BCL6;HDAC1;MTA3",5
"18",43,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)","PSEN1;NCSTN;APH1A;PSENEN",4
"19",45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)","PSEN1;NCSTN;APH1A;PSENEN",4
"20",49,"DNMT3B complex","SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B",7
"21",50,"RAB5-RABAPTIN5\u2013RABEX5 complex","RAB5A;RABEP1;RABGEF1",3
"22",54,"SIN3 complex","SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A",7
"23",55,"HDAC4-ERK1 complex","MAPK3;HDAC4",2
"24",57,"HDAC4-ERK2 complex","MAPK1;HDAC4",2
"25",58,"SMRT complex","HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2",5
"26",59,"AP3 adaptor complex","AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1",7
"27",60,"Interferon-stimulated gene factor 3 transcription complex ISGF3","STAT1;STAT2;IRF9",3
"28",61,"Mi2/NuRD complex","MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2",7
"29",62,"MeCP1 complex","MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2",8
"30",63,"Cohesin-SA1 complex","RAD21;SMC1A;STAG1;SMC3",4
"31",64,"Cohesin-SA2 complex","RAD21;SMC1A;STAG2;SMC3",4
"32",66,"TRAP complex","MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16",8
"33",67,"AP4 adaptor complex","AP4M1;AP4E1;AP4S1;AP4B1",4
"34",68,"BCDX2 complex","RAD51B;RAD51C;XRCC2;RAD51D",4
"35",71,"MRN complex (MRE11-RAD50-NBN complex)","NBN;MRE11A;RAD50",3
"36",72,"R/M complex (RAD50-MRE11 complex)","MRE11A;RAD50",2
"37",73,"MRN complex (MRE11-RAD50-NBN complex)","NBN;MRE11A;RAD50",3
"38",74,"HOMER3-IP3R-TRPC1 complex","TRPC1;ITPR3;HOMER3",3
"39",75,"TSC1-TSC2 complex","TSC2;TSC1",2
"40",80,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","RBX1;SKP1;SKP2;CUL1",4
"41",81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","RBX1;SKP1;CUL7;FBXW8",4
"42",86,"NUMAC complex (nucleosomal methylation activator complex)","ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1",10
"43",87,"Nup 107-160 subcomplex","NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85",9
"44",89,"Exocyst Sec6/8 complex","EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7",8
"45",91,"FA complex (Fanconi anemia complex), cytoplasmic","FANCG;FANCA;FANCC;FANCF",4
"46",92,"CD28-transactivation complex","CD28;NCL",2
"47",93,"Anaphase-promoting complex","CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2",8
"48",94,"SNF2H-BAZ1A complex","SMARCA5;BAZ1A",2
"49",95,"Ku antigen-NARG1 complex","XRCC6;XRCC5;NAA15",3
"50",96,"Anaphase-promoting complex","CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10",9
"51",98,"p300-MDM2-p53 protein complex","TP53;MDM2;EP300",3
"52",100,"hNURF complex","SMARCA1;RBBP4;BPTF;RBBP7",4
"53",103,"RNA polymerase II holoenzyme complex","POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4",24
"54",104,"RNA polymerase II core complex","POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L",12
"55",105,"Polycomb repressive complex 2 (PRC 2)","EED;RBBP4;SUZ12;EZH2;RBBP7",5
"56",107,"TFIIH transcription factor complex","ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H4",9
"57",112,"Prefoldin complex","PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2",6
"58",114,"SNAPc (small nuclear RNA-activating protein) complex","SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3",5
"59",115,"Polycomb repressive complex 1 (PRC1, hPRC-H)","CBX4;SMARCA5;HSPA1A;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8",12
"60",116,"Polycomb repressive complex 1 (PRC1, hPRC-H)","CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8",13
"61",117,"GPR56-CD81-Galpha(q/11)-Gbeta complex","GNA11;GNAQ;CD81;GNB1;ADGRG1",5
"62",118,"GPI-GnT activity complex","PIGA;PIGH;PIGC;PIGQ",4
"63",120,"Lymphotoxin beta receptor complex","LTA;LTBR;LTB",3
"64",123,"Rnase/Mrp complex","POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21",10
"65",126,"CCT complex (chaperonin containing TCP1 complex)","TCP1;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;CCT7",8
"66",127,"NDC80 kinetochore complex","NDC80;SPC24;NUF2;SPC25",4
"67",129,"PIDDsome complex","CASP2;CRADD;PIDD1",3
"68",138,"Telomere-associated protein complex","TERF1;TERF2;ACD;TINF2;POT1;TERF2IP",6
"69",140,"E-box sequence-binding complex","LMO2;NHLH2;LDB1;BEX2",4
"70",142,"CD147-gamma-secretase complex","BSG;PSEN1;NCSTN;APH1A;PSENEN",5
"71",143,"APP-APBB1-LRP1 complex","APBB1;APP;LRP1",3
"72",144,"Gamma-BAR-AP1 complex","AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2",9
"73",149,"PBAF complex (Polybromo- and BAF containing complex)","ACTL6A;SMARCA4;ACTB;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1",10
"74",152,"TFIIE complex","GTF2E1;GTF2E2",2
"75",153,"TFIIF complex (transcription factor IIF)","GTF2F2;GTF2F1",2
"76",155,"TFIID complex","TAF4;TBP;TAF1;TAF6;TAF10;TAF5;TAF11;TAF9;TAF2",9
"77",156,"Retrotranslocation complex","GEMIN4;SYVN1;DERL1",3
"78",157,"Condensin I complex","SMC2;NCAPH;NCAPD2;NCAPG;SMC4",5
"79",159,"Condensin I-PARP-1-XRCC1 complex","SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4",7
"80",160,"Condensin II","SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4",5
"81",162,"COG complex","COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6",8
"82",163,"Cohesin-SA2 complex","RAD21;SMC1A;STAG2;SMC3",4
"83",164,"Cohesin-SA1 complex","RAD21;SMC1A;STAG1;SMC3",4
"84",165,"Cohesin-SA1 complex","RAD21;SMC1A;STAG1;SMC3",4
"85",166,"Cohesin-SA2 complex","RAD21;SMC1A;STAG2;SMC3",4
"86",167,"Condensin I complex","SMC2;NCAPH;NCAPD2;NCAPG;SMC4",5
"87",173,"MRN complex (MRE11-RAD50-NBN complex)","NBN;MRE11A;RAD50",3
"88",177,"OGT-TRAK1-TRAK2 complex","OGT;TRAK2;TRAK1",3
