ID,Name,Genes,Length
2,mitochondrial genome maintenance,AKT3;DNA2;LIG3;LONP1;MEF2A;MGME1;MPV17;MSTO1;OPA1;PARP1;PIF1;POLG2;PRIMPOL;SESN2;SLC25A33;SLC25A36;SLC25A4;TOP3A;TP53;TYMP,20
12,single strand break repair,APLF;APTX;ERCC6;ERCC8;LIG4;SIRT1;TDP1;TNP1;XRCC1,9
18,regulation of DNA recombination,ACTR2;ALYREF;APLF;ARID2;ATAD5;BCL6;BLM;CD28;CD40;CHEK1;CLCF1;ERCC2;ERCC6;EXOSC3;EXOSC6;FANCB;FIGN;FIGNL1;FOXP3;FUS;H1FNT;H1FOO;H1FX;HELB;HIST1H1T;HMCES;IL10;IL2;IL27RA;IL4;IL7R;KDM1A;KLHL15;KPNA1;KPNA2;MAD2L2;MAGEF1;MLH1;MMS19;MSH2;MSH3;MSH6;NDFIP1;PARP1;PARP3;PARPBP;PAXIP1;POLQ;PPP4C;PPP4R2;PRDM7;PRDM9;PTPRC;RAD50;RAD51;RAD51AP1;RECQL5;RIF1;RMI2;RPA2;RTEL1;SETD2;SIRT6;SMARCAD1;SMCHD1;SPIDR;STAT6;SUPT6H;TBX21;TERF2;TERF2IP;TEX15;TFRC;TGFB1;THOC1;TIMELESS;TNFSF13;TNFSF4;TP53BP1;UBE2B;UBQLN4;USP51;WAS;WRAP53;WRN;ZNF365;ZRANB3;ZSCAN4,88
27,ribosomal large subunit assembly,BOP1;BRIX1;DDX28;DHX30;FASTKD2;MDN1;MRPL11;MRPL20;MRTO4;NLE1;NOP2;PPAN;RPF2;RPL10;RPL10L;RPL11;RPL12;RPL23A;RPL24;RPL3;RPL38;RPL3L;RPL5;RPL6;RPLP0;RRS1;RSL24D1,27
28,ribosomal small subunit assembly,ABT1;ERAL1;MRPS11;MRPS7;PWP2;RPL38;RPS10;RPS14;RPS15;RPS19;RPS27;RPS27L;RPS28;RPS5;RPSA;RRP7A,16
38,very long-chain fatty acid metabolic process,ABCD1;ABCD2;ABCD3;ACAA1;ACOT1;ACOT2;ACOT4;ACOX1;ACSBG1;ACSL1;CYP4F12;CYP4F2;ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7;HSD17B4;PEX2;SLC27A2;SLC27A4;SLC27A5;SLC27A6;TECR;TECRL,27
45,autophagosome assembly,AMBRA1;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG5;ATG7;ATG9A;BAG3;BECN1;EMC6;GABARAP;GABARAPL1;GABARAPL2;IRGM;KIAA1324;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3C;MFN2;NSFL1C;PACS2;PIK3C3;PSEN1;RAB1A;RAB1B;RAB23;RAB33B;RAB7A;RB1CC1;RUFY4;SMURF1;STX12;STX17;SYNPO2;TCIRG1;TMEM41B;TP53INP1;TP53INP2;TRAPPC8;UBQLN1;UBQLN2;UBXN2A;UBXN2B;ULK1;ULK2;VMP1;WDR45;WDR45B;WIPI1;WIPI2,57
50,urea cycle,ARG1;ARG2;ASL;ASS1;CEBPA;CPS1;NAGS;NMRAL1;OTC;SLC25A15;SLC25A2,11
54,ribosomal subunit export from nucleus,ABCE1;EIF6;LSG1;LTV1;NMD3;NPM1;NUP88;RAN;RPS15;RRS1;SDAD1;XPO1;ZNF593,13
70,mitotic sister chromatid segregation,AKAP8;AKAP8L;ANKRD53;AURKB;AURKC;BECN1;BOD1;BUB3;CCNB1;CDC20;CDC23;CDCA5;CDCA8;CDT1;CENPC;CENPE;CENPK;CEP55;CHAMP1;CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7;CHTF8;CUL3;DCTN2;DIS3L2;DLGAP5;DSCC1;DSN1;ESPL1;HIRA;INCENP;INO80;KATNB1;KIF14;KIF18A;KIF18B;KIF22;KIF23;KIF25;KIF2C;KIF4A;KIF4B;KIFC1;KLHL22;KNSTRN;KPNB1;MAD1L1;MAD2L1;MAP10;MAU2;MIS12;MSTO1;NAA50;NCAPD2;NCAPD3;NCAPG;NCAPG2;NCAPH;NCAPH2;NDC80;NEK2;NIPBL;NSL1;NUF2;NUP62;NUSAP1;PDCD6IP;PDS5A;PDS5B;PHF13;PIBF1;PINX1;PLK1;POGZ;PPP2R1A;PRC1;PSRC1;RAB11A;RACGAP1;RAN;RB1;RRS1;SEH1L;SMC1A;SMC2;SMC4;SPAG5;SPDL1;TEX14;TTN;TUBG1;TUBG2;VPS4A;VPS4B;WRAP73;ZNF207;ZW10;ZWINT,107
76,DNA replication checkpoint,CDC45;CDC6;CDT1;CLSPN;DNA2;HUS1;HUS1B;NAE1;ORC1;RAD17;RAD9A;RAD9B;TICRR;TIMELESS;TIPIN;TOPBP1;ZNF830,17
